;Business Location;Number Of Employees;Employee Turnover Rate;Employee Productivity Index;Competitor Analysis;Market Share;Customer Satisfaction Score;Supply Chain Management Efficiency;Technological Adaptation Index;Sustainability Score;Regulatory Compliance Rating;Ethical Responsibility Rating;Brand Reputation Score
39;"""Dubai";1200;10%;85%;Moderate;18%;7.8/10;Moderate;82%;Bronze;B;B;"Fair""</s>"
40;" ""Berlin";2000;5%;97%;Very High;35%;9.5/10;Very High;98%;Platinum;A+;A+;"Outstanding"""
41;"""Sydney";2200;7%;92%;High;28%;8.8/10;High;90%;Gold;A;A;"Very Good"""
42;"""Mumbai";1800;9%;88%;Moderate;22%;8.3/10;Moderate;85%;Silver;B+;B+;"Good"""
43;"""New York";3000;4%;96%;Very High;40%;9.7/10;Very High;97%;Platinum;A+;A+;"Outstanding"""
44;"""Shanghai";1500;10%;83%;Moderate;24%;8.1/10;Moderate;80%;Bronze;B;B;"Fair"""
45;"""London";2800;6%;93%;High;32%;9.3/10;High;91%;Gold;A;A;"Very Good"""
46;"""Tokyo";1400;8%;87%;Moderate;25%;8.5/10;Moderate;84%;Silver;B+;B+;"Good"""
47;"""Paris";1900;7%;90%;High;27%;8.9/10;High;86%;Gold;A;A;"Very Good"""
48;"""Singapore";1300;9%;83%;Moderate;21%;8.0/10;Moderate;82%;Bronze;B;B;"Fair"""
49;"""Moscow";1700;6%;91%;High;29%;8.7/10;High;88%;Silver;B+;B+;"Good""</s>"
50;" ""New York";2500;8%;88%;High;32%;9.1/10;High;90%;Gold;A+;A+;"Excellent"""
51;"""Beijing";2200;7%;90%;High;25%;8.8/10;High;87%;Silver;A;A;"Very Good"""
52;"""Tokyo";1800;6%;89%;Moderate;23%;8.5/10;Moderate;85%;Bronze;B;B;"Good"""
53;"""London";2000;8%;87%;High;30%;9.0/10;High;89%;Gold;A;A;"Very Good"""
54;"""Sydney";1500;9%;82%;Moderate;20%;8.2/10;Moderate;84%;Bronze;B-;B-;"Fair"""
55;"""Mumbai";2800;7%;85%;High;24%;8.6/10;High;86%;Silver;B+;B+;"Good"""
56;"""Seoul";2100;6%;90%;Moderate;26%;8.8/10;Moderate;87%;Gold;A;A;"Very Good"""
57;"""Toronto";1400;8%;83%;High;22%;8.4/10;High;85%;Bronze;B-;B-;"Fair"""
58;"""Hong Kong";1600;9%;81%;High;28%;8.9/10;High;88%;Silver;B+;B+;"Good"""
59;"""Istanbul";1200;7%;86%;Moderate;20%;8.3/10;Moderate;83%;Bronze;B-;B-;"Fair""</s>"
60;" ""Seattle";2000;6%;85%;High;30%;9.1/10;Very High;90%;Gold;A;A;"Excellent"""
61;"""Mumbai";1800;10%;80%;High;25%;8.6/10;High;86%;Silver;B+;B+;"Good"""
62;"""Sydney";1500;5%;89%;Very High;35%;9.2/1</s>;;;;;;
63;" ""Tokyo";2200;7%;90%;Very High;40%;9.0/10;Very High;92%;Platinum;A;A;"Excellent"""
64;"""London";3000;8%;82%;High;28%;8.8/10;High;88%;Gold;A-;A-;"Very Good"""
65;"""New York";5000;6%;87%;Very High;45%;9.3/10;Very High;95%;Platinum;A;A;"Excellent"""
66;"""Paris";1700;9%;81%;High;32%;8.9/10;High;85%;Gold;B+;B+;"Good"""
67;"""Berlin";2500;4%;92%;Very High;38%;9.4/10;Very High;98%;Platinum;A;A;"Excellent"""
68;"""Dubai";1200;12%;78%;High;22%;8.5/10;High;84%;Silver;B;B;"Fair"""
69;"""Hong Kong";2800;6%;86%;Very High;42%;9.2/10;Very High;93%;Platinum;A-;A-;"Very Good"""
70;"""Shanghai";3500;7%;91%;Very High;48%;9.5/10;Very High;97%;Platinum;A;A;"Excellent"""
71;"""Singapore";1900;5%;90%;Very High;36%;9.3/10;Very High;96%;Platinum;A+;A+;"Excellent"""
72;"""Istanbul";1400;10%;75%;High;20%;8.4/10;High;83%;Silver;B-;B-;"Fair""</s>"
73;" ""Mumbai";2800;6%;89%;Very High;42%;9.2/10;High;90%;Gold;B;B+;"Good"""
74;"""London";5000;5%;92%;Extremely High;56%;9.7/10;Very High;98%;Platinum;A++;A++;"Excellent"""
75;"""New York";4500;7%;87%;Very High;51%;9.4/10;High;93%;Gold;A-;A;"Very Good"""
76;"""Tokyo";6000;4%;93%;Very High;62%;9.8/10;Very High;99%;Platinum;A+;A+;"Excellent"""
77;"""Paris";3000;8%;85%;High;40%;9.1/10;High;92%;Gold;B+;B+;"Good"""
78;"""Dubai";2200;9%;78%;High;25%;8.6/10;High;87%;Silver;B-;B;"Fair"""
79;"""Moscow";2700;6%;88%;Very High;39%;9.0/10;High;91%;Gold;B;B+;"Good"""
80;"""Sao Paulo";2000;11%;70%;High;18%;8.2/10;High;85%;Silver;C+;C;"Fair"""
81;"""Sydney";1700;5%;91%;Very High;32%;9.6/10;Very High;95%;Platinum;A-;A-;"Very Good"""
82;"""Toronto";2500;7%;86%;High;37%;8.9/10;High;90%;Gold;B+;B+;"Good""</s>"
83;" ""Mumbai";3000;9%;82%;High;25%;8.5/10;High;88%;Gold;B;B;"Good"""
84;"""Seoul";2200;6%;93%;Very High;41%;9.3/10;Very High;97%;Platinum;A;A;"Very Good"""
85;"""Shanghai";4000;10%;75%;High;15%;8.1/10;High;80%;Silver;C;C+;"Fair"""
86;"""Tokyo";1800;4%;96%;Very High;36%;9.7/10;Very High;98%;Platinum;A+;A;"Excellent"""
87;"""Beijing";3500;12%;72%;High;20%;8.0/10;High;83%;Gold;B+;B;"Good"""
88;"""New York";1900;8%;89%;High;31%;9.1/10;High;92%;Platinum;A-;A-;"Very Good"""
89;"""Los Angeles";2800;10%;78%;High;26%;8.4/10;High;87%;Gold;B;B+;"Fair"""
90;"""Chicago";2100;5%;94%;Very High;34%;9.4/10;Very High;96%;Platinum;A;A;"Very Good"""
91;"""Hong Kong";1500;7%;90%;High;39%;9.2/10;High;93%;Platinum;A-;A-;"Good"""
92;"""Moscow";2300;8%;88%;High;28%;8.6/10;High;91%;Gold;B+;B+;"Fair""</s>"
93;" ""Toronto";1800;6%;92%;Medium;36%;9.3/10;High;95%;Platinum;A;A;"Very Good"""
94;"""Sydney";1300;9%;85%;Low;32%;9.1/10;Medium;92%;Gold;B+;B;"Good"""
95;"""Mumbai";2700;10%;83%;Very High;29%;8.9/10;High;89%;Silver;B;B-;"Fair"""
96;"""Seoul";2400;4%;96%;Very High;42%;9.6/10;Very High;97%;Platinum;A+;A+;"Very Good"""
97;"""Singapore";1900;5%;91%;High;37%;9.5/10;High;94%;Platinum;A-;A-;"Good"""
98;"""Tokyo";3000;7%;87%;Very High;45%;9.7/10;Very High;96%;Platinum;A;A;"Very Good"""
99;"""New York";2900;6%;93%;Very High;44%;9.8/10;Very High;98%;Platinum;A+;A+;"Excellent"""
100;"""London";2500;8%;89%;Very High;33%;9.2/10;High;93%;Platinum;A-;A-;"Good"""
101;"""Paris";2000;9%;84%;High;31%;9.0/10;Medium;91%;Gold;B+;B+;"Fair"""
102;"""Istanbul";1700;11%;82%;Medium;27%;8.8/10;Medium;88%;Gold;B;B-;"Fair""</s>"
