;Ancient Civilizations; World Religions; Philosophical Thought; Literature Masterpieces; Musician Geniuses; Festivals and Celebrations; Trade Routes; Military Conflicts; Currency Exchange; Explorers’ Voyages; Gastronomy; Language Families
10;  Aztec & Inca Civilizations; Aztec Religion & Inca Animism; Humanism in Americas; Popol Vuh & Apu Ollantay; Codex Borgia & Quipus; Day of the Dead & Inti Raymi; Michoacán Route & Qhapaq Ñan; Mexican-Spanish War & Arauco War; Cacao Beans & Macua Shells; Christopher Columbus's & Vasco Núñez de Balboa's Voyages; Mexican & Incan Cuisine; Uto-Aztecan & Quechuan Languages.
11; Shang & Zhou Dynasties; Confucianism, Taoism, & Legalism; Four Classics of Chinese Literature; Zheng He's Voyages & Music of the Silk Road; Terracotta Army & Chinese Bronzes; Tea Horse Road & Maritime Silk Road; Chinese Currency Systems; Warring States Period & First Opium War; Mongol Yuan Dynasty & Ming Dynasty's Porcelain; Porcelain Road; Chinese Cuisine & Dim Sum; Sino-Tibetan & Sino-Tibetan-Austronesian Languages.
12; Ancient Greece; Hellenic Polytheism & Early Christianity; Socratic, Platonic, & Aristotelian Philosophy; Iliad & Odyssey; Oresteia & Bacchae; Delphic Games & Dionysia; Ancient Greek Coinage; Peloponnesian War & Punic Wars; Aegina & Athenian Silver Coins; Alexander the Great's Expeditions; Ancient Greek Cuisine; Hellenic Languages.
13; Roman Empire; State Religion & Early Christianity; Stoicism, Epicureanism, & Neoplatonism; Aeneid & Metamorphoses; Roman Drama & Lyric Poetry; Roman Games & Saturnalia; Latin Monetary System; Pax Romana &Fall of the Western Roman Empire; Solidi & Denarii; Roman Naval & Military Conquests; Roman Cuisine; Italic, Celtic, & Afro-Asiatic Languages.
14; Japanese Archipelago; Shinto & Buddhism; Confucianism in Japan; Genji Monogatari & The Tale of the Heike; Noh & Kabuki; Moon Viewing & Cherry Blossom Festivals; Japanese Currency Systems; Sengoku Period & Edo Period; Golden Pavilion & Black Ship Incident; Japanese Explorations & Expeditions; Japanese Cuisine; Japonic Languages.
15; Indian Subcontinent; Hinduism, Buddhism, & Jainism; Sankhya, Yoga, Nyaya, Vaisheshika, & Mimamsa; Mahabharata & Ramayana; Kathakali & Bharatanatyam; Diwali & Holi; Indian Ocean Trade; Maurya & Gupta Empires; Indian Rupee; Buddhist Missions & Muslim Invasions; Indian Cuisine; Indo-European & Dravidian Languages.
16; Persian Civilization; Zoroastrianism & Islam; Shāhnāmeh & Rubāiyāt; Rostam & Sohrab; Persian Music & Calligraphy; Persian Festivals & Ceremonies; Persian Currency Systems; Achaemenid, Parthian, & Sassanid Empires; Silk Road & Spice Route; Safavid & Qajar Dynasties; Persian Cuisine; Iranian Languages.
17; Mongol Empire; Tengrism & Buddhism; Secret History of the Mongols & Journey to the West; Orhon Inscriptions & Jámiy mosque; Mongolian Folk Music & Khoomei; Mongolian Cuisine & Naadam; Mongolian Currency Systems; Mongol Conquests & Mongol-Ilkhanate; European, Middle Eastern, & Chinese Trade; Mongolian Language & Script.;;
18; Mesopotamian Civilizations; Mesopotamian Religion & Judaism; Babylonian & Assyrian Literature; Code of Hammurabi & Enuma Elish; Musical Instruments & Cuneiform; Akitu & Assyrian New Year; Mesopotamian Trade Routes; Persian, Hellenistic, & Islamic Conquests; Cylinder Seals & Drachmas; Sargon of Akkad & Gilgamesh; Mesopotamian Cuisine; Afro-Asiatic Languages.
19; Ancient Egypt; Ancient Egyptian Religion & Coptic Christianity; Instruction of Amenemope & Book of the Dead; Edfu Texts & Pyramid Texts; Harp & Lyre; Opet Festival & Heb Sed; Ancient Egyptian Currency; New Kingdom & Ptolemaic Dynasties; Gold & Silver; Cleopatra's Expeditions; Ancient Egyptian Cuisine; Afro-Asiatic Languages.</s>
20;  Indus Valley Civilization; Hinduism & Jainism; Rigveda & Upanishads; Rock Edicts & Mahabharata; Veena & Tabla; Diwali & Holi; Indus Valley Trade; Aryan Invasion & Muslim Invasions; Copper & Punch-marked coins; Ashoka's Edicts & Megasthenes; Indian Cuisine; Indo-European Languages.
21; Ancient Greece; Hellenic Religion & Early Christianity; Iliad & Odyssey; Symposium & Republic; Aulos & Lyre; Panathenaia & Dionysia; Spartan, Phoenician, & Aegean Trade; Persian, Macedonian, & Roman Conquests; Athenian Owls & Denarii; Alexander the Great & Julius Caesar; Greek Cuisine; Hellenic Languages.
22; Chinese Empire; Confucianism, Taoism & Buddhism; Shijing & Zhuangzi; Shang Shu & Analects; Guqin & Erhu; Dragon Boat & Mid-Autumn Festivals; Silk Road & Maritime Trade; Warring States, Qin, Han, & Mongol Conquests; Banliang, Wuzhu, & Kuanbi Currency; Zheng He's Expeditions & Xuanzang's Pilgrimage; Chinese Cuisine; Sino-Tibetan Languages.
23; Roman Empire; Ancient Roman Religion & Christianity; Aeneid & Metamorphoses; Declamation & Satires; Hydraulis & Lute; Lupercalia & Saturnalia; Roman Trade Routes; Punic, Germanic, & Islamic Wars; Aureus & Denarius; Julius Caesar's Campaigns & Hannibal's Invasion; Roman Cuisine; Italic Languages.
24; Persian Empire; Zoroastrianism & Shia Islam; Shahnameh & Divan; Gardens & Caravanserais; Santur & Ney; Nowruz & Mehregan; Silk Road & Spice Trade; Greek, Arab, Mongol, & Ottoman Invasions; Darics & Siglos; Cyrus the Great & Rostam; Persian Cuisine; Iranian Languages.
25; Mayan Civilization; Mayan Religion & Christianity; Popol Vuh & Books of Chilam Balam; Codices & Hieroglyphs; Trumpets & Turtle Shells; New Year & Solar Eclipses; Mayan Trade; Spanish Conquest & Caste War; Cacao & Copper; Explorers' Voyages; Mayan Cuisine; Mayan Languages.
26; Aztec Civilization; Aztec Religion & Christianity; Florentine Codex & Cantares Mexicanos; Huehuetlatolli & Tonalpohualli; Drums & Conch Shells; Panquetzaliztli & Tlacaxipehualiztli; Mesoamerican Trade; Spanish Conquest & Colonialism; Cacao & Copper; Explorers' Voyages; Aztec Cuisine; Uto-Aztecan Languages.
27; Inca Civilization; Inca Religion & Christianity; Huarochirí Manuscript & Apu Ollantay; Khipus & Quipus; Flutes & Pututus; Inti Raymi & Capac Raymi; Andean Trade; Spanish Conquest & Colonialism; Gold & Silver; Explorers' Voyages; Inca Cuisine; Quechuan Languages.
28; Islamic Empires; Islam & Sufism; Quran & Mathnawi; Ibn Sina & Al-Farabi; Oud & Ney; Mawlid & Ramadan; Islamic Trade Routes; Crusades & Ottoman Conquests; Gold Dinar & Silver Dirham; Muslim Scholars' Expeditions; Middle Eastern Cuisine; Semitic Languages.
29; African Kingdoms; African Traditional Religions & Islam; Igbo culture & Maasai culture; Ifa & Quran; Kora & Djembe; Fasting & Rain Ceremonies; Trans-Saharan Trade; Islamic Conquests & Colonialism; Cowries & Manillas; Expeditions & Missions; African Cuisine; Niger-Congo Languages.</s>
30;  Ancient Greece; Greek Polytheism & Christianity; Iliad & Odyssey; Plato & Aristotle; Lyre & Aulos; Olympics & Dionysia; Silk Road & Spice Route; Peloponnesian War & Punic Wars; Drachma & Obol; Alexander's Expeditions; Mediterranean Diet; Hellenic Languages.
31; Roman Empire; Roman Religion & Christianity; Aeneid & Metamorphoses; Cicero & Seneca; Hydraulis & Tuba; Saturnalia & Lupercalia; Amber Road & Periplus of the Erythraean Sea; Roman Conquests & Fall of the Empire; Aureus & Denarius; Roman Naval Exploration; Roman Cuisine; Romance Languages.
32; Chinese Dynasties; Confucianism, Taoism & Buddhism; Analects & Tao Te Ching; Confucius & Lao Tzu; Guqin & Pipa; Moon Festival & Dragon Boat Festival; Silk Road & Maritime Silk Road; Warring States & Three Kingdoms; Banliang & Wu Zhu; Zheng He's Voyages; Chinese Cuisine; Sino-Tibetan Languages.
33; Indian Empires; Hinduism, Jainism & Buddhism; Mahabharata & Ramayana; Vedas & Upanishads; Veena & Tabla; Diwali & Holi; Spice Trade & Monsoon Trade; Maurya & Gupta Empires; Karshapana & Pratapa; Chola Navy's Exploration; Indian Cuisine; Indo-Aryan Languages.
34; Persian Empires; Zoroastrianism & Islam; Shahnameh & Divan; Rumi & Hafez; Santur & Tanbur; Nowruz & Yalda; Silk Road & Royal Road; Achaemenid & Sassanid Empires; Daric & Siglos; Darius' Expeditions; Persian Cuisine; Iranian Languages.
35; Egyptian Civilization; Ancient Egyptian Religion & Hellenism; Book of the Dead & Book of Thoth; Thales & Euclid; Lyre & Ney; Opet Festival & Heb Sed; Red Sea Trade & Nile Trade; New Kingdom & Ptolemaic Kingdom; Gold Deben & Silver Shekel; Explorations of Harkhuf; Egyptian Cuisine; Afro-Asiatic Languages.
36; Mesopotamian Civilizations; Mesopotamian Religions & Hellenism; Epic of Gilgamesh & Enuma Elish; Hammurabi & Enheduanna; Lyre & Zurna; Akitu & New Year; Trade in the Fertile Crescent & Assyrian Trade; Babylonian & Assyrian Empires; Silver Shekel & Heqa; Explorations of Sargon of Akkad; Mesopotamian Cuisine; Semitic Languages.
37; Japanese Archipelago; Shintoism & Buddhism; Kojiki & Man'yōshū; Murasaki & Zeami; Koto & Shakuhachi; Tanabata & Obon; Maritime Silk Road & Tokaido; Yamato & Edo Periods; Wada & Koban; Japanese Explorations; Japanese Cuisine; Japonic Languages.
38; Maya Civilization; Maya Religion & Christianity; Popol Vuh & Books of Chilam Balam; Maya Codices & Hieroglyphs; Flute & Teponaztli; New Year & Deer Hunt; Maya Trade & Central American Trade; Classic & Postclassic Maya; Cacao Beans & Copper Bells; Explorations of Hernán Cortés; Maya Cuisine; Mayan Languages.
39; Native American Cultures; Native American Religions & Christianity; Hiawatha & Popol Vuh; Wampum & Mesoamerican Codices; Flute & Rainstick; Powwows & Green Corn Festivals; Trade Routes in the Americas & Navigation of the Mississippi; Aztec, Inca & Iroquois; Shell Disks & Macuahuitl; Explorations of Jacques Cartier; Native American Cuisine; Native American Languages.</s>
40; Ancient Greek Civilization; Hellenic Religion & Christianity; Iliad & Odyssey; Homer & Socrates; Lyre & Aulos; Dionysia & Panathenaia; Silk Road & Spice Trade Routes; Peloponnesian War & Punic Wars; Drachma & Obol; Voyages of Pytheas; Ancient Greek Cuisine; Hellenic Languages.
41; Ancient Roman Civilization; Roman Religion & Christianity; Aeneid & Metamorphoses; Cicero & Virgil; Hydraulis & Cornu; Saturnalia & Lupercalia; Amber Road & Incense Trade Routes; Mare Nostrum Conflicts & Fall of Western Roman Empire; Aureus & Solidus; Expedition of Trajan; Ancient Roman Cuisine; Latin Languages.
42; Egyptian Civilization; Ancient Egyptian Religion & Hellenistic Religions; Book of the Dead & Book of Thoth; Ipuwer & Aeschylus; Harp & Lyre; Opet & Wagy; Nile Trade Routes & Red Sea Trade Routes; Hyksos Invasion & Ptolemaic Wars; Gold Deben & Silver Tetradrachm; Voyages of Harkhuf; Ancient Egyptian Cuisine; Egyptian Languages.
43; Chinese Civilization; Daoism, Buddhism & Confucianism; Shijing & Zhuangzi; Laozi & Mozi; Guqin & Sheng; Dragon Boat & Mid-Autumn Festival; Silk Road & Tea Horse Road; Warring States Period & Dynastic Changes; Sycee & Cash Coins; Voyages of Zheng He; Chinese Cuisine; Sino-Tibetan Languages.
44; Indian Civilization; Hinduism, Buddhism & Jainism; Ramayana & Mahabharata; Buddhacarita & Upanishads; Sitar & Mridangam; Diwali & Holi; Incense Trade Routes & Spice Trade Routes; Maurya & Gupta Empires; Silver Rupee & Gold Mohur; Voyages of Vasco da Gama; Indian Cuisine; Indo-European (Indo-Aryan) Languages.
45; Persian Civilization; Zoroastrianism, Manichaeism & Islam; Shahnameh & Avesta; Rumi & Hafez; Santur & Ney; Nowruz & Mehregan; Silk Road & Incense Trade Routes; Achaemenid & Sassanid Empires; Daric & Siglos; Expeditions of Cyrus the Great; Persian Cuisine; Iranian Languages.
46; Mesopotamian Civilization; Sumerian, Babylonian & Akkadian Religions; Epic of Gilgamesh & Enuma Elish; Enheduanna & Sin-liqe-unninni; Lyre & Panflute; Akitu & Zagmuk; Trade Routes of Mesopotamia & Ugaritic Trade Networks; Hammurabi & Nebuchadnezzar; Shekel & Talent; Voyages of Sargon of Akkad; Mesopotamian Cuisine; Semitic Languages.
47; Sub-Saharan African Civilizations; African Traditional Religions & Islam; Sundiata & Mwindo Epic; Azmari & Griots; Kora & Balafon; Timkat & Durbar Festivals; Trans-Saharan Trade Routes & East African Coastal Trade Routes; Bantu Expansion & Kingdoms of Ghana, Mali, Songhai; HShape Gold & Riyal; Explorations of Mungo Park; West African Cuisine; Niger-Congo Languages.
48; Island Southeast Asian Civilizations; Animism, Hinduism & Buddhism; Ramayana & Bhagavad Gita; Tales of Prince Panji & Bujangga Manik; Gamelan & Kulintang; Waisak & Pasola; Spice Trade Routes & Maritime Silk Road; Srivijaya & Majapahit Empires; Pistre & Pitiso; Voyages of Ferdinand Magellan; Southeast Asian Cuisine; Austronesian Languages.
49; Islamic Civilization; Islam, Sufism & Shia Islam; Quran & Hadith; Al-Kindi & Ibn Rushd; Oud & Ney; Eid al-Fitr & Ramadan; Islamic Golden Age Trade Routes & Abbasid Caliphate; Rashidun, Umayyad & Ottoman Caliphates; Gold Dinar & Silver Dirham; Expeditions of Uqba ibn Nafi & Tariq ibn Ziyad; Middle Eastern Cuisine; Semitic Languages (Central, Southwestern Asian dialects).</s>
50;  Indigenous American Civilizations; Native American Religions & Christianity; Popol Vuh & Hiawatha; Peyote Songs & Powwows; Flute & Drums; Green Corn Festival & Day of the Dead; Pacific Coastal Trade Routes & Mesoamerican Trade Routes; Inca, Aztec & Maya Civilizations; Wampum & Macuquina; Voyages of Christopher Columbus & Vasco Núñez de Balboa; Native American Cuisine; Na-Dene, Algic, and Uto-Aztecan Languages.
51; Ancient Chinese Civilization; Chinese Religions (Confucianism, Taoism, Buddhism); Book of Songs & Journey to the West; Guqin & Erhu; Mid-Autumn Festival & Chinese New Year; Silk Road & Tea Horse Road; Han Dynasty & Tang Dynasty; Warring States Period & Three Kingdoms Period; Copper Cash & Silver Sycee; Voyages of Zheng He & Emperor Wu of Han; Chinese Cuisine; Sino-Tibetan, Sino-Burmese, Sinitic Languages.
52; European Civilization; Christianity, Judaism & Humanism; Bible & Divine Comedy; Gregorian Chant & Beethoven Symphonies; Carnival & Christmas; Hanseatic League & Mediterranean Trade Routes; Roman Empire & Holy Roman Empire; Hundred Years' War & Thirty Years' War; Florin & Pound Sterling; Voyages of Vasco da Gama & Christopher Columbus; European Cuisine; Indo-European Languages (Germanic, Romance dialects).
53; Indian Civilization; Hinduism, Buddhism & Jainism; Vedas & Mahabharata; Sitar & Tabla; Holi & Diwali; Monsoon & Spice Routes; Gupta Empire & Maurya Empire; Mughal Empire & British Raj; Rupee & Silver Rupia; Voyages of Ibn Battuta & Marco Polo; Indian Cuisine; Indo-Aryan, Dravidian Languages.
54; Japanese Civilization; Shintoism, Buddhism & Confucianism; Kojiki & The Tale of Genji; Koto & Shakuhachi; Hanami & Obon; Edo Period & Meiji Period; Tokugawa Shogunate & Imperial Japan; Ryō & Sen; Voyages of Admiral Tōgō Heihachirō & Kuro Funaki; Japanese Cuisine; Japonic Languages.;
55; Australian Aboriginal Civilization; Australian Aboriginal Spirituality; Dreamtime Stories & Songlines; Didgeridoo & Clapsticks; NAIDOC Week & Corroboree; Oceanic Trade Routes; Aboriginal Art & Craft; Frontier Wars & Stolen Generations; Boomerang & Yandruwandha; Voyages of James Cook & William Dampier; Australian Cuisine; Pama-Nyungan Languages.
56; Mesopotamian Civilization; Mesopotamian Religions (Sumerian, Babylonian, Assyrian); Epic of Gilgamesh & Enuma Elish; Lyre & Ney; Akitu & Zagmuk; Trade along the Tigris & Euphrates; Sargon of Akkad & Hammurabi; Shekel & Talent; Voyages of Sinbad the Sailor & Nebuchadnezzar II; Mesopotamian Cuisine; Afro-Asiatic Languages (Semitic, Hamito-Semitic dialects).;
57; Egyptian Civilization; Ancient Egyptian Religion & Coptic Christianity; Book of the Dead & Book of Thoth; Harp & Oud; Wafaa el-Nil & Sham el-Nessim; Nile Trade Routes & Red Sea Trade Routes; Old Kingdom & New Kingdom; Ramses II & Cleopatra; Gold Deben & Silver Tetradrachm; Voyages of Hatshepsut & Herodotus; Egyptian Cuisine; Afro-Asiatic Languages (Egyptian dialects).
58; Ancient Greek Civilization; Ancient Greek Religion & Hellenistic Religion; Iliad & Odyssey; Lyre & Aulos; Panathenaia & Anthesteria; Phoenician Trade Routes & Aegean Trade Routes; Classical Greece & Hellenistic Greece; Peloponnesian War & Greco-Persian Wars; Drachma & Tetradrachm; Voyages of Pytheas & Scylax of Caryanda; Greek Cuisine; Hellenic Languages.
59; Roman Civilization; Ancient Roman Religion & Christianity; Aeneid & Metamorphoses; Aqueducts & Amphitheaters; Saturnalia & Lupercalia; Roman Road Network & Roman Maritime Routes; Roman Republic & Roman Empire; Punic Wars & Migrations of the Barbarian Tribes; Aureus & Denarius; Voyages of Julius Caesar & Augustus; Roman Cuisine; Italic Languages (Latin, Faliscan dialects).</s>
60;  Chinese Civilization; Buddhism, Taoism, Confucianism, & Christianity; Journey to the West & Dream of the Red Chamber; Guqin & Pipa; Mid-Autumn Festival & Chinese New Year; Silk Road & Maritime Silk Road; Zhou Dynasty & Qin Dynasty; Warring States Period & Three Kingdoms period; Banliang & Wuzhu; Voyages of Zhang Qian & Xu Fu; Chinese Cuisine; Sino-Tibetan Languages (Mandarin, Wu, Yue).
61; Indian Civilization; Hinduism, Buddhism, Jainism, & Islam; Mahabharata & Ramayana; Sitar & Tabla; Diwali & Holi; Spice Routes & Monsoon Trade Routes; Maurya Empire & Gupta Empire; Kalinga War & Bhakti Movement; Karshapana & Panas; Voyages of Megasthenes & Scyllax of Caryanda; Indian Cuisine; Indo-European Languages (Sanskrit, Punjabi, Marathi).
62; Persian Civilization; Zoroastrianism & Islam; Shahnameh & Divan of Hafez; Santur & Dotar; Nowruz & Mehregan; Royal Road & Persian Gulf Trade Routes; Achaemenid Empire & Sassanid Empire; Greco-Persian Wars & Rashidun Caliphate Conquests; Daric & Siglos; Voyages of Cyrus the Great & Darius I; Persian Cuisine; Iranian Languages (Old Persian, Middle Persian, New Persian).
63; Mesopotamian Civilization; Mesopotamian Religion & Judaism; Epic of Gilgamesh & Enuma Elish; Lyre & Pan Flute; Akitu & Zagmuk; Tigris-Euphrates Trade Routes & Incense Trade Routes; Babylonian Empire & Assyrian Empire; Akkadian Empire & Amorite Kingdoms; Shekel & Talent; Voyages of Sin-eqe-sham & Nabonidus; Mesopotamian Cuisine; Semitic Languages (Akkadian, Sumerian, Babylonian).
64; Mayan Civilization; Mayan Religion & Christianity; Popol Vuh & Books of Chilam Balam; Flute & Teponaztli; New Year & Day of the Dead; Yucatan Trade Routes (Puerto de la Candelaria) & Maya Lowlands Trade Routes; Classic Maya & Postclassic Maya; Tayasal & Itza; Cocoa Bean & Copper; Voyages of Yaxchilan Lords & Juan de Grijalva; Mayan Cuisine; Mayan Languages (Yucatec, K'iche', Q'eqchi').
65; Aztec Civilization; Aztec Religion & Christianity; Florentine Codex & Historia de los Mexicanos por sus Pinturas; Huehuetl & Teponaztli; Panquetzaliztli & Toxcatl; Gulf Coast Trade Routes & Mexico Valley Trade Routes; Aztec Empire & Spanish Conquest; Triple Alliance & Fall of Tenochtitlan; Cacao Bean & Copper; Voyages of Moctezuma I & Hernán Cortés; Aztec Cuisine; Uto-Aztecan Languages (Nahuatl, P'urhépecha).
66; Japanese Civilization; Buddhism & Shinto; Tale of Genji & The Pillow Book; Koto & Shakuhachi; Star Festival & Cherry Blossom Festival; Silk Road & Nakasendō; Asuka period & Edo period; Sengoku period & Azuchi-Momoyama period; Ryo & Koban; Voyages of Hasekura Tsunenaga & Koxinga; Japanese Cuisine; Japonic Languages (Japanese, Ryukyuan, Ainu).
67; Khmer Civilization; Hinduism, Buddhism & Islam; Reamker & Chbab Srey; Tro Khmer & Chapey Dang Veng; Bonn Om Teuk & Pchum Ben; Mekong River Trade Routes & Preah Sisiket; Khmer Empire & French Indochina; Angkor Wars & Khmer Rouge; Tical & Riel; Voyages of Jayavarman II & Yijing; Khmer Cuisine; Austroasiatic Languages (Khmer, Mon).
68; Ethiopian Civilization; Christianity & Islam; Kebra Nagast & Conflict of Adwa; Masenqo & Krar; Enkutatash & Timkat; Horn of Africa Trade Routes & Nile River Trade Routes; Aksumite Empire & Zagwe Dynasty; Ethiopian-Adal War & Italian Occupation; Talari & Birr; Voyages of The Queen of Sheba & Candace Amanirenas; Ethiopian Cuisine; Semitic Languages (Ge'ez).
69; Sub-Saharan Civilization; Indigenous Beliefs & Islam; Sundiata epic & The Mwindo Epic; Kora & Balafon; Afro comb & Shea Butter; Sahara Trade Routes & Indian Ocean Trade Routes; Mali Empire & Oyo Empire; Yoruba Wars & Zulu Wars; Dellal & Mitkal; Voyages of Mungo Park & Heinrich Barth; West African Cuisine; Niger-Congo Languages (Yoruba, Swahili, Zulu).</s>
70;  Inca Civilization; Andean Religions & Christianity; Popol Vuh & Apu Ollantay; Pan flute & Charango; Inti Raymi & Corpus Christi; Andean Trade Routes & Pacific Coast Trade Routes; Inca Empire & Spanish Conquest; Cold War in South America & Shining Path; Sol & Nuevo Sol; Voyages of Atahualpa & Pedro Serrano; Andean Cuisine; Quechuan Languages (Quechua, Aymara).
71; Chinese Civilization; Confucianism, Taoism & Buddhism; Journey to the West & Romance of the Three Kingdoms; Guqin & Erhu; Mid-Autumn Festival & Chinese New Year; Silk Road & Maritime Silk Road; Qin Dynasty & Han Dynasty; Opium Wars & Chinese Civil War; Yuan & Renminbi; Voyages of Zheng He & Xu Fu; Chinese Cuisine; Sino-Tibetan Languages (Mandarin, Wu, Min).
72; Egyptian Civilization; Ancient Egyptian Religion & Islam; Book of the Dead & Quran; Ney & Oud; Wafaa Al Nil & Eid Al Adha; Red Sea Trade Routes & Nile River Trade Routes; Old Kingdom & Ayyubid Dynasty; Arab-Byzantine Wars & Muslim Conquest of Egypt; Piastre & Egyptian Pound; Voyages of Hatshepsut & Necho; Egyptian Cuisine; Afro-Asiatic Languages (Egyptian Arabic, Coptic).
73; Mayan Civilization; Mayan Religion & Christianity; Popol Vuh & Books of Chilam Balam; Marimba & Teponaztli; Day of the Dead & Feast of Saint Thomas; Yucatan Trade Routes & Central American Trade Routes; Classic Maya & Spanish Conquest; Cold War in Central America & Guatemalan Civil War; Quetzal & Belize Dollar; Voyages of Tunici & Jacques de Sores; Mayan Cuisine; Mayan Languages (Yucatec, K'iche', Q'eqchi').
74; Indian Civilization; Hinduism, Buddhism & Jainism; Mahabharata & Ramayana; Sitar & Tabla; Diwali & Holi; Indian Ocean Trade Routes & Silk Road; Gupta Empire & Maurya Empire; Colonial India & Independence; Rupee & Rupiah; Voyages of Vasco da Gama & Christopher Columbus; Indian Cuisine; Indo-European Languages (Hindi, Bengali, Tamil).
75; Japanese Civilization; Shintoism & Buddhism; Tale of Genji & The Pillow Book; Koto & Shamisen; Hanami & Obon; Silk Road & Nakasendo; Edo Period & Meiji Restoration; World War II & Cold War in Asia; Yen & Jen; Voyages of Kukai & Matsuo Basho; Japanese Cuisine; Japonic Languages (Japanese).
76; Mesopotamian Civilization; Mesopotamian Religions & Islam; Epic of Gilgamesh & Enuma Elish; Lyre & Oud; Akitu & Eid Al Fitr; Persian Gulf Trade Routes & Silk Road; Sumerian Empire & Babylonian Empire; Muslim Conquest of Persia & Mongol Invasions; Dinars & Rials; Voyages of Sinbad & Ibn Battuta; Mesopotamian Cuisine; Afro-Asiatic Languages (Akkadian, Babylonian, Aramaic).
77; Ancient Greek Civilization; Ancient Greek Religion & Christianity; Iliad & Odyssey; Lyre & Aulos; Panathenaia & Easter; Aegean Trade Routes & Silk Road; Classical Greece & Byzantine Empire; Peloponnesian War & Greco-Persian Wars; Drachma & Euro; Voyages of Pytheas & Hanno; Greek Cuisine; Hellenic Languages (Ancient Greek, Modern Greek).
78; Roman Civilization; Roman Religion & Christianity; Aeneid & Metamorphoses; Aquila & Cithara; Saturnalia & Christmas; Roman Roads & Silk Road; Roman Republic & Roman Empire; Punic Wars & Migration Period; Denarius & Libra; Voyages of Julius Caesar & Augustus; Roman Cuisine; Italic Languages (Latin, Italian).
79; Persian Civilization; Zoroastrianism & Islam; Shahnameh & Divan; Santur & Ney; Nowruz & Eid Al Adha; Silk Road & Persian Gulf Trade Routes; Achaemenid Empire & Sassanid Empire; Greco-Persian Wars & Arab-Byzantine Wars; Daric & Rial; Voyages of Darius I & Rostam; Persian Cuisine; Iranian Languages (Persian).</s>
