;Mission Name; Start Date; Duration (days); Spacecraft Used; Primary Objective; Astronomer On Board; Orbit Achieved; Payloads Deployed; Reusable?; First Stage Return?; Crew Count
18;"""IAU Time Capsule Jupiter Flyby"""; August 30, 2040; 18; IAU Time Capsule Spacecraft; Deliver IAU Time Capsule, Jupiter system flyby; Yuri Ishikawa; Jupiter Orbit; IAU Time Capsule; No; No; 1
19;"""Space Shuttle Columbia (STS-107)"""; January 16, 2003; 16; Space Shuttle Columbia; Microgravity and astrophysics experiments; Ilan Ramon; Low Earth Orbit; Free-Flyer, Spartan; No; No; 7</s>
20;" ""Mars Eco-City Initiative"""; September 1, 2042; 2450; Mars Transport Vehicle; Establish Mars eco-city, study Martian environment; Olivia Martinez; Mars Orbit; Habitat Module, Terraformer; Yes; Yes; 12
21;"""Ceres Exploration Initiative"""; April 10, 2044; 550; Ceres Spacecraft; Comprehensive exploration and resource assessment; Anna Kuiper; Ceres Orbit; Ceres Lander, Mining Probe; No; No; 4
22;"""Asteroid Mining Project 1"""; June 20, 2045; 365; Donatello Spacecraft; Test mining techniques, resource extraction; Samuel Bell; Asteroid Orbit (16 Psyche); Mining Equipment, Resource Processor; Yes; Yes; 2
23;"""Venus Atmosphere Probe 2"""; October 27, 2046; 45; Solar Probe; Investigate Venusian atmosphere and climate; Liam Weaver; Venus Atmosphere; Atmospheric Probe, Helicopter; No; No; 1
24;"""Neptune Orbiter and Probe 2"""; March 3, 2048; 950; Neptune Orbiter and Probe; Neptune and Triton exploration, deep space technology test; Eleanor North; Neptune Orbit; Neptune Orbiter and Probe, Triton Lander; No; No; 3
25;"""IAU Lunar Heritage Mission"""; August 15, 2050; 15; Luna Lander; Preserve lunar historic sites, scientific research; Farah Amari; Lunar Orbit; Restoration Robot, L laboratory; No; No; 1
26;"""International Space Station X-2"""; October 25, 2052; 5; Space Station; Long-duration space habitation and research; Valerie Ortega; Low Earth Orbit; ISS X-2, Research Modules; Yes; Yes; 6
27;"""Saturn Orbiter Project"""; February 6, 2054; 1300; Saturn Orbiter; Comprehensive Saturn system exploration; Xavier Leclerc; Saturn Orbit; Saturn Orbiter, Huygens 2 Lander; No; No; 5
28;"""IAU Kuiper Belt Survey"""; August 18, 2056; 1200; KBO Surveyor; Survey and characterize Kuiper Belt Objects; Jasmine Lee; Kuiper Belt Orbit; Survey Probes, flyby spacecraft; No; No; 2
29;"""Exo-Planet Hunter"""; December 1, 2058; 1500; TESS-2; Discover, analyze and characterize exoplanetary systems; Riley Nguyen; Heliocentric Orbit; Space Telescope, flyby spacecraft; No; No; 1</s>
30;" ""Gemini XI Anniversary Mission"""; June 12, 2060; 20; Gemini XI-2; Commemorate Gemini XI's 50th anniversary; Tyler Roberts; Low Earth Orbit; GATV 2, replica GEM capsule; No; No; 2
31;"""Asteroid Belt Mining Test"""; October 15, 2062; 300; Belt Miner 1; Test technologies for asteroid mining; Priya Patel; Asteroid Orbit; Mining Robots, Resource Extraction Probes; No; No; 0
32;"""Mars Terraforming Feasibility"""; January 20, 2065; 2000; Mars Terraformer 1; Study Mars terraforming methods; Daniel Kim; Martian Orbit; Atmospheric Processors, Soil Testing Devices; No; No; 7
33;"""Jupiter Trojan Mining"""; April 3, 2067; 1600; Jupiter Trojan Collector; Extract resources from Jupiter Trojans; Maria Rodriguez; Jupiter Trojan Orbit; Mining Drones, Collection Barges; No; No; 3
34;"""Saturn Ring Material Study"""; July 8, 2070; 850; Saturn Ring Explorer; Investigate Saturn's rings and collect samples; Sofia Mendez; Saturn Ring Orbit; Sample Return Vehicles, Ring Penetrators; No; No; 4
35;"""Neptune Deep Dive"""; October 13, 2073; 1400; Neptune Probe 3; Study Neptune's deep atmosphere and moons; Chen Wei; Neptune Orbit; Atmospheric Probes, Neptune Landers; No; No; 6
36;"""Black Hole Horizon Observatory"""; January 25, 2076; 4000; Horizon Telescope; Expand understanding of black holes; Mira Kapoor; Highly Eccentric Orbit; Advanced Optical Systems, Gravitational Wave Detectors; No; No; 12
37;"""KBO Ultima Thule Flyby"""; April 30, 2079; 1000; New Horizons 2; Explore KBO Ultima Thule; Olivia Green; KBO Orbit; Flyby Spacecraft, Science Instruments; No; No; 1
38;"""Oort Cloud Probe"""; July 8, 2082; 7500; Oort Cloud Explorer; Investigate Oort Cloud and its objects; Nadia Ahmed; Oort Cloud Orbit; Deep Space Probes, Communication Relays; No; No; 2
39;"""Galactic Center Expedition"""; October 15, 2086; 11500; Galactic Center Explorer; Research galactic core and Sagittarius A*; Juan Hernandez; Galactic Orbit; Orbital Telescope, Interstellar Probe; No; No; 5</s>
40;" ""Mars Ice Mapping Mission"""; November 20, 2089; 960; Mars Exploration Rover 4; Map subsurface ice formations; Amelia Brown; Martian Orbit; Rovers, Ground-penetrating Radar; No; No; 2
41;"""Trojan Asteroid Survey"""; February 3, 2093; 1500; Jupiter Trojan Explorer; Survey Jovian Trojan asteroids; Liam Chen; Jupiter Trojan Orbits; Deep Space Probes, Imaging Systems; No; No; 3
42;"""Neptune System Odyssey"""; May 20, 2095; 2500; Neptune Orbiter; Study Neptune's atmosphere, rings, and moons; Ava Davis; Neptune Orbit; Orbital Spacecraft, Atmospheric Probes; No; No; 4
43;"""Enceladus Exploration Initiative"""; August 10, 2097; 1200; Enceladus Probe 1; Investigate geysers and potential subsurface ocean; Benjamin Evans; Saturn Orbit, Enceladus Orbit; Orbiter, Landers; No; No; 3
44;"""Kuipers Belt Exploration"""; November 14, 2099; 1800; Kuiper Belt Explorer; Study Kuiper Belt objects and diversity; Sophia Garcia; Kuiper Belt Orbit; Deep Space Probes, Science Instruments; No; No; 2
45;"""Venus Atmosphere Profiler"""; February 22, 2092; 450; Venus Atmosphere Probe 3; Investigate Venusian atmosphere composition and dynamics; Daniel Kim; Venus Orbit; Atmospheric Probes, Orbital Spacecraft; No; No; 1
46;"""Asteroid Impact Defense Test"""; May 28, 2094; 365; AID Spacecraft; Evaluate capabilities for asteroid deflection; Emily Nguyen; Asteroid Orbit, Earth Orbit; Impact Spacecraft, Observation Satellites; No; Yes; 1
47;"""Comet Surface Sampling Expedition"""; August 4, 2096; 710; Comet Surface Sample Returns 1; Collect samples from comet nucleus and return; Gabriel Patel; Comet Orbit; Sample Return Spacecraft, Orbital Spacecraft; No; No; 2
48;"""Lunar South Pole Base Expansion"""; October 11, 2098; 365; Lunar Base Expansion 2; Develop infrastructure for permanent lunar base; Hannah Qureshi; Lunar Orbit, Lunar South Pole; Living Quarters, Resource Extraction; No; No; 6
49;"""ISS Orbital Lifespan Extension"""; January 16, 2091; 365; ISS Orbital Lifespan Extension; Implement upgrades for ISS orbital lifespan; Isabella Rodriguez; Low Earth Orbit; Orbital Facility Modules, Solar Panels; No; No; 6</s>
50;" ""Asteroid Belt Resource Prospecting"""; June 2, 2093; 420; Asteroid Belt Prospector 1; Research and survey asteroid belt for resources; Rajesh Singh; Asteroid Belt Orbit; Resource Survey Drones, Orbital Habitat; No; No; 4
51;"""Martian Soil Sample Return Mission"""; February 14, 2095; 920; Mars Sample Return 1; Collect and return soil samples from Mars; Zhang Li; Martian Orbit; Soil Sample Return Capsule, Orbital Rover; No; No; 3
52;"""ExoMars Life Detection Mission"""; September 18, 2097; 545; ExoMars Rover 2; Search for signs of life on Mars; Maria Gonzales; Martian Surface; Life Detection Rover, Surface Penetrator; No; No; 2
53;"""Venus Atmospheric Exploration Probe"""; April 26, 2092; 225; Venus Probe 3; Examine Venus' atmosphere and geology; James Kim; Venus Orbit; Atmospheric Probe, Descent Landing Craft; No; No; 1
54;"""Saturn Orbital Tour and Titan Landing"""; November 9, 2094; 2160; Saturn Probe 1; Studying Saturn and landing on Titan; Emily Chen; Saturn Orbit; Orbital Probe, Titan Landing Craft; No; No; 3
55;"""Jovian Moons Flyby and Io Volcanic Study"""; July 3, 2096; 1080; Jupiter Probe 4; Exploration of Jupiter's moons and volcanic activity on Io; Sofia Hernandez; Jupiter Orbit; Flyby Spacecraft, Volcanic Probe; No; No; 2
56;"""Black Hole Gravity Wave Detection"""; December 27, 2093; 1460; Gravity Wave Observatory 1; Observe and detect gravitational waves from black holes; Daniel Park; Interstellar Space; Gravitational Wave Detector, Communications Hub; No; No; 4
57;"""Milky Way Star Formation Research"""; March 12, 2091; 3340; Milky Way Telescope 2; Study of star formation and evolution; Alicia Nguyen; High Orbit; Optical Telescope, Spectrometer; No; No; 5
58;"""Andromeda Collision Observational Campaign"""; August 16, 2099; 3465; Andromeda Observatory 3; Study the collision of the Andromeda galaxy and the Milky Way; Fatima Ahmed; Beyond Milky Way; Radio Telescope, Spectrometer; No; No; 7
59;"""Cosmic Microwave Background Radiation Mapping"""; April 2, 2097; 3590; CMBR Explorer 4; Detailed survey of cosmic microwave background radiation; Muhammad Johnson; Interstellar Space; CMBR Mapping Spacecraft, Gravitational Wave Detector; No; No; 6</s>
60;" ""Dark Matter Direct Detection Probe"""; December 23, 2103; 3645; DarkStar 5; Direct detection of dark matter particles; Sofia Martinez; Dark Matter Halos; Direct Detection Instrument, Dark Matter Particle Identifier; No; No; 8
61;"""Exoplanetary System Atmospheric Composition Analysis"""; June 18, 2101; 3750; ExoAtmos 6; Analysis of exoplanetary system atmospheres; James Wilson; Habitable Zone; Spectrograph, Atmospheric Analyzer; No; No; 9
62;"""Ice Giant Moons Geological Surveying"""; January 6, 2105; 3820; IcyMoons 1; Geological surveys of ice giant moons; Emily Brown; Saturn and Uranus Moons; Orbital Survey Spacecraft, Ice Penetrating Radar; No; No; 7
63;"""Optical Transient Survey for Transiting Exoplanets"""; September 14, 2104; 3910; OTS-TEP 7; Discovery and characterization of transiting exoplanets; Laura Taylor; Throughout the Galaxy; Telescope Array, Photometric Transit Analyzer; No; No; 10
64;"""Search for Brown Dwarfs in Young Star Clusters"""; February 28, 2102; 4045; BrownDwarfHunter 8; Identification and study of brown dwarfs in young star clusters; Carlos Lopez; Nearby Star Clusters; Infrared Telescope, Brown Dwarf Classifier; No; No; 6
65;"""Ultra-Compact Dwarf Galaxies Research"""; October 12, 2106; 4110; UCD Galaxy Explorer 9; Understanding the nature and formation of ultra-compact dwarf galaxies; Patricia Hernandez; Nearby Galaxy Clusters; Telescope and Spectrometer Array, Dwarf Galaxy Identifier; No; No; 5
66;"""Gamma-Ray Burst Monitoring and Study"""; July 3, 2107; 4200; GammaRayBurst 10; Monitoring and study of gamma-ray bursts; Daniel Kim; Deep Space; Gamma-Ray Telescope, Burst Analyzer; No; No; 7
67;"""Interstellar Medium Probe"""; November 19, 2108; 4345; InterstellarProbe 11; Understanding the interstellar medium; Christine Thompson; Between Star Systems; Interstellar Medium Probe, Data Collector; No; No; 3
68;"""Galactic Center Research Mission"""; April 16, 2109; 4400; GalacticCenter 12; Comprehensive study of the galactic center; Olivia Walker; Milky Way Center; Orbital Observatory, Multi-Wavelength Telescope; No; No; 4
69;"""Black Hole Accretion Disk Dynamics Observations"""; July 2, 2110; 4550; BHADynamics 13; Studying the dynamics of black hole accretion disks; Ryan Bennett; Near Supermassive Black Holes; X-Ray and Infrared Telescope, Accretion Disk Modeling Tool; No; No; 6</s>
70;" ""Andromeda Galaxy Collision Study"""; January 12, 2111; 5000; AndromedaCollision 14; Investigating Andromeda-Milky Way collision dynamics; Daniel Kim; Andromeda-Milky Way Boundary; Gravitational Wave Detector, Stellar Observation Platform; No; No; 7
71;"""Rogue Comet Chasing Expedition"""; April 30, 2111; 3650; RogueCometChaser 15; Intercepting and studying rogue comets; Sophia White; Random Orbits through Space; Comet Interceptor, Ice Sample Return Pod; No; No; 5
72;"""Cosmic Microwave Background Radiation Probe"""; August 18, 2112; 4100; CMBProbe 16; Mapping cosmic microwave background radiation; Alexander Brown; Throughout the Universe; CMB Mapping Instrument, Dark Matter Detector; No; No; 6
73;"""Nearby Exoplanet Atmospheric Composition Analysis"""; November 22, 2112; 3000; ExoAtmosAnalyzer 17; Characterizing atmospheres of nearby exoplanets; Elizabeth Johnson; Within Habitable Zones; Spectroscopic Atmospheric Analyzer, High-Resolution Imager; No; No; 4
74;"""Gamma-Ray Burst Localization and Investigation"""; February 14, 2114; 2500; GammaRayBurst 18; Investigating gamma-ray burst sources; Thomas Davis; Deep Space; Gamma-Ray and Neutrino Detector, Burst Localization Tool; No; No; 2
75;"""Stellar Evolution and Supernova Observation"""; May 29, 2115; 4600; StellarEvolution 19; Monitoring stellar evolution and supernovae; Laura Garcia; Diverse Star Clusters; Multi-Spectrum Observation Platform, Supernova Simulation Model; No; No; 5
76;"""Cosmic Magnetic Fields and Intergalactic Medium"""; August 11, 2116; 5500; MagFieldIGM 20; Studying cosmic magnetic fields and intergalactic medium; Benjamin Wilson; Intergalactic Space; Magnetic Field Analyzer, Particle and Radiation Detector; No; No; 3
77;"""Dark Matter Distribution and Galactic Halo Mapping"""; November 26, 2117; 6000; DarkMatterMapper 21; Mapping dark matter distribution in galactic halos; Melissa Thompson; Various Galaxies; Dark Matter Detector, Gravitational Lensing Analyzer; No; No; 8
78;"""Dark Energy and Accelerating Universe Survey"""; February 20, 2120; 7000; DarkEnergySurvey 22; Investigating dark energy and accelerating universe; James Anderson; Wide Field Observations; Dark Energy Probe, Supernova Distance Measurement; No; No; 10
79;"""Alien Megastructure and Dyson Sphere Investigation"""; May 5, 2125; 8000; AlienMegastructure 23; Searching for alien megastructures and Dyson spheres; Catherine Lewis; Exoplanetary Systems; Habitable Zone Probe, Dyson Sphere Detection Tool; No; No; 12</s>
80;" ""Astrobiological Habitability Study of Exoplanets in Alpha Centauri"""; August 10, 2130; 9000; AlphaCentauriHabitability 24; Investigating astrobiological habitability in Alpha Centauri system; Susan White; Alpha Centauri System; Astrobiological Habitability Probe, Exoplanet Spectroscopy Tool; No; No; 15 
81;"""Manned Comet Exploration Mission to Comet ISON"""; October 25, 2135; 10000; CometExplorer 25; Studying composition and behavior of Comet ISON; Stephen Green; Comet ISON; Comet Sample Return Capsule, Comet Observation Platform; No; No; 20 
82;"""Orion Arm Star Formation and Black Hole Research"""; January 5, 2140; 11000; OrionArmResearch 26; Studying star formation and black holes in Orion Arm; Daniel Brown; Orion Arm; Star Formation Analyzer, Black Hole Probe; No; No; 25 
83;"""Survey of Interstellar Medium and Cosmic Rays"""; April 20, 2145; 12000; InterstellarSurvey 27; Investigating interstellar medium and cosmic rays; Emily Johnson; Various Regions; Interstellar Medium Probe, Cosmic Ray Detector; No; No; 30 
84;"""Global 3D Mapping of the Milky Way"""; July 5, 2150; 13000; MilkyWayMapping 28; Generating a 3D map of the Milky Way; Thomas Wilson; Milky Way; Milky Way Mapping Probe, High Resolution Imager; No; No; 35 
85;"""Multiwaveband Observations of Active Galactic Nuclei"""; October 20, 2155; 14000; AGNObservations 29; Conducting multiwaveband observations of active galactic nuclei; Rebecca Taylor; Various AGNs; AGN Observation Platform, Multiwaveband Analyzer; No; No; 40 
86;"""Quantifying the Stellar Content of the Andromeda Galaxy"""; January 5, 2160; 15000; AndromedaStudy 30; Quantifying stellar content in the Andromeda Galaxy; Michael Davis; Andromeda Galaxy; Stellar Content Probe, High Resolution Imager; No; No; 45 
87;"""Lunar-based Observations of Distant Galaxies"""; April 20, 2165; 16000; LunarObservations 31; Conducting lunar-based observations of distant galaxies; Laura Thompson; Lunar Observatory; Distant Galaxies Probe, High Resolution Imager; No; Yes; 50 
88;"""Multidecade Study of Stars in the Magellanic Clouds"""; July 10, 2170; 17000; MagellanicClouds 32; Studying evolution of stars in the Magellanic Clouds; Scott Moore; Magellanic Clouds; Stars Evolution Probe, High Resolution Imager; No; Yes; 55 
89;"""Manned Exploration of the Triangulum Galaxy"""; October 25, 2175; 18000; TriangulumExploration 33; Investigating the Triangulum Galaxy; Victoria Rodriguez; Triangulum Galaxy; Triangulum Exploration Probe, High Resolution Imager; No; No; 60.</s>
90;" ""Interstellar Travel Demonstration"""; January 1, 2180; 2000; InterstellarDemonstrator 34; Demonstrating interstellar travel; James Anderson; Interstellar Space; None; No; No; 1
91;"""Survey of Exoplanets in the Andromeda Galaxy"""; March 15, 2182; 2200; AndromedaSurvey 35; Studying exoplanets in the Andromeda Galaxy; Emily Brown; Andromeda Galaxy; Exoplanet Survey Probe, High Resolution Imager; No; No; 2
92;"""Observations of Black Holes in the Centaurus A"""; June 28, 2185; 2500; CentaurusAObservations 36; Observing black holes in the Centaurus A; Thomas Carter; Centaurus A; Black Hole Probe, High Resolution Imager; No; Yes; 3
93;"""Study of Stars in the Whirlpool Galaxy"""; September 12, 2188; 2800; WhirlpoolStudy 37; Studying the evolution of stars in the Whirlpool Galaxy; Rebecca Davis; Whirlpool Galaxy; Stars Evolution Probe, High Resolution Imager; No; No; 4
94;"""Investigating Star Formation in the Large Magellanic Cloud"""; December 22, 2191; 3100; MagellanicCloudsStarFormation 38; Investigating star formation in the Large Magellanic Cloud; Matthew Evans; Large Magellanic Cloud; Star Formation Probe, High Resolution Imager; No; Yes; 5
95;"""Survey of Star Clusters in M101"""; March 7, 2195; 3400; M101StarClusters 39; Surveying star clusters in M101; Laura Garcia; M101; Star Cluster Survey Probe, High Resolution Imager; No; No; 6
96;"""Mapping Dark Matter in the Local Group"""; June 19, 2198; 3700; LocalGroupDarkMatter 40; Mapping dark matter in the Local Group; Nathan Hall; Local Group; Dark Matter Probe, High Resolution Imager; No; Yes; 7
97;"""Observations of Supernovae in Distant Galaxies"""; September 3, 2202; 4000; SupernovaeObservations 41; Observing supernovae in distant galaxies; Olivia Hernandez; Deep Space; Supernova Probe, High Resolution Imager; No; Yes; 8
98;"""Studying the Structure of the Milky Way"""; December 18, 2205; 4300; MilkyWayStructure 42; Studying the structure of the Milky Way; Patrick Johnson; Milky Way; Milky Way Structure Probe, High Resolution Imager; No; No; 9
99;"""Investigating the LMC-SMC Interaction"""; March 4, 2209; 4600; LMC-SMCInteraction 43; Investigating the interaction between the LMC and SMC; Emily Kim; LMC-SMC; Interaction Probe, High Resolution Imager; No; Yes; 10</s>
100;" ""Discovering Exoplanets in the Andromeda Galaxy"""; June 27, 2210; 4800; AndromedaExoplanets 44; Discovering exoplanets in the Andromeda Galaxy; Thomas White; Andromeda; Exoplanet Discovery Probe, High Resolution Imager; No; Yes; 11
101;"""Observing Black Holes in the Center of NGC 4261"""; September 12, 2211; 5000; NGC4261BlackHole 45; Observing black holes in the center of NGC 4261; Laura Thompson; NGC 4261; Black Hole Observation Probe, High Resolution Imager; No; No; 12
102;"""Studying Star Formation in the Triangulum Galaxy"""; January 1, 2213; 5200; TriangulumStarFormation 46; Studying star formation in the Triangulum Galaxy; Daniel Chen; Triangulum; Star Formation Probe, High Resolution Imager; No; Yes; 13
103;"""Exploring the Magellanic Stream"""; April 15, 2214; 5400; MagellanicStream 47; Exploring the Magellanic Stream; Jasmine Lewis; Magellanic Stream; Stream Exploration Probe, High Resolution Imager; No; Yes; 14
104;"""Investigating the Ultra Diffuse Galaxies"""; July 30, 2215; 5600; UltraDiffuseGalaxies 48; Investigating the Ultra Diffuse Galaxies; Alexander Wilson; Ultra Diffuse; Galaxy Investigation Probe, High Resolution Imager; No; No; 15
105;"""Observing Galaxy Clusters in the Abell 2744"""; October 12, 2216; 5800; Abell2744GalaxyClusters 49; Observing Galaxy Clusters in the Abell 2744; Hannah Nguyen; Abell 2744; Galaxy Cluster Observation Probe, High Resolution Imager; No; Yes; 16
106;"""Studying Cosmic Rays in the Outer Arm of the Milky Way"""; January 26, 2217; 6000; CosmicRaysMilkyWayOuterArm 50; Studying Cosmic Rays in the Outer Arm of the Milky Way; Benjamin Taylor; Milky Way; Cosmic Ray Investigation Probe, High Resolution Imager; No; No; 17
107;"""Exploring the Cigar Galaxy"""; April 10, 2218; 6200; CigarGalaxy 51; Exploring the Cigar Galaxy; Sophia Martinez; Cigar Galaxy; Galaxy Exploration Probe, High Resolution Imager; No; Yes; 18
108;"""Investigating the Pisces-Cetus Supercluster Complex"""; July 24, 2219; 6400; PiscesCetusSuperclusterComplex 52; Investigating the Pisces-Cetus Supercluster Complex; Ava Thompson; Pisces-Cetus; Supercluster Investigation Probe, High Resolution Imager; No; No; 19
109;"""Observing the Whirlpool Galaxy"""; October 8, 2220; 6600; WhirlpoolGalaxy 53; Observing the Whirlpool Galaxy; Benjamin Johnson; Whirlpool Galaxy; Galaxy Observation Probe, High Resolution Imager; No; Yes; 20</s>
