;Primary Sources; Secondary Resources ; Historiography ; Key Figures; Art & Architecture; Cultural Practices ; Economic Systems ; Political Structures; Social Hierarchies ; Scientific Advancements ; Technological Innovations ; Geographical Impact
12;"""The Histories"" by Herodotus"; Ancient Greek historian, classical Greece; Herodotus, Thucydides; Ionic dialect, black-figure pottery; Tragedy, philosophy; Athenian democracy, Spartan militarism; Delian League, Peloponnesian League; Colonies, city-states; Hoplite soldiers, philosophers; Slaves, citizens; Naval warfare, Olympia games.;
13;"""The Records of the Great Historian"" by Sima Guang"; Song dynasty historians, China; Sima Guang, Taizu, Zhenzong; Woodblock printing, calligraphy; Song poetry, landscape painting; Neo-Confucianism, Buddhism; Imperial examinations, civil service; Northern Song, Southern Song; Scholar-officials, eunuchs; Academies, bureaucracy; Print culture, technology.;
14;"""The Mughal Empire's Official History"""; Mughal court records, India; Akbar, Jahangir, Shah Jahan; Persian calligraphy, miniature paintings; Sufi poetry, mysticism; Indo-Persian culture, Hindu-Muslim unity; Jagir system, imperial workshops; Mansabdari, harem; Nobles, artisans; Land revenue, diplomacy; Textiles, architecture; Mughal-Timurid dynasty, Indian Subcontinent.
15;"""The History of the Peloponnesian War"" by Thucydides"; Ancient Greek historian, classical Greece; Thucydides, Pericles; Doric dialect, red-figure pottery; Athenian democracy, oligarchy; Delian League, Peloponnesian League; Naval warfare, hoplite warfare; Political oratory, history of ideas; Plague, stasis; Athenian Empire, Spartan hegemony; Literary legacy, historiography.;
16;"""The Ruins of Palmyra"""; Syrian archaeological records, Roman Empire; Zenobia, Aurelian; Palm-leaf manuscripts, mosaics; Desert kufic, Aramaic inscriptions; Palmyrene religion, Syrian Christianity; Caravan trade, urbanism; Tadmor, Palmyra; Senators, merchants; Graeco-Roman culture, cultural exchanges; Temple of Bel, Diocletian's Palace; Near Eastern archaeology, Hellenistic world.
17;"""The History of the Later Han Dynasty"""; Han dynasty records, China; Guangwu, Liu Xiu, Emperor Ming; Seals, stele inscriptions; Han Fu, Five Classics; Huang-Lao, Legalism; Land equalization, market economy; Centralized bureaucracy, regionalism; Aristocrats, officials; Agricultural intensification, literature; Technology transfer, exploration; Han-Chinese culture, nomadic interactions.
18;"""The History of the Franks"" by Gregory of Tours"; Merovingian records, early medieval Europe; Clovis I, Dagobert I; Latin, Merovingian script; Hagiography, Biblical exegesis; Visigoths, Ostrogoths; Merovingian dynasty, Carolingian dynasty; Aristocrats, villagers; Church councils, missionaries; Monasteries, cathedrals; Legal codes, diplomacy; Slavery, manumission  Frankish expansion, Merovingian culture.
19;"""The History of the Decline and Fall of the Roman Empire"" by Edward Gibbon"; Enlightenment historian, early modern Europe; Justinian, Muhammad; Latin, ancient Greek; Renaissance humanism, Scottish Enlightenment; Byzantine Empire, early Islamic caliphates; Holy Roman Empire, Ottoman Empire; Feudalism, colonialism; Intellectual culture, religious reform; Barbarian invasions, gunpowder; Printing press, global exploration; European historiography, civilizational analysis.</s>
20;" ""The History of the Aztecs"""; Aztec codices, Mesoamerica; Moctezuma I, Moctezuma II; Nahuatl, pictography; Aztec religion, cosmology; Mexica, Tlaxcala; Triple Alliance, Spanish conquest; Nobles, commoners; Priests, merchants; Calendar system, marketplace; Agriculture, human sacrifice; Architecture, sculpture  Tenochtitlan, tribute system  Mexica imperialism, Nahua culture.
21;"""The History of the Mughal Empire"""; Babur, Akbar, Aurangzeb; Persian, Arabic; Sufism, sunni Islam; Mughal architecture, miniature painting; Land revenue, trade; Centralized authority, regional governors; Nobility, artisans; Turco-Mongol, Indian; Agricultural expansion, textiles; Fatehpur Sikri, Taj Mahal; Mughal-Rajput relations, Maratha power  Mughal decline, British colonization.
22;"""The History of the Qing Dynasty"""; Manchu, Chinese; Kangxi, Qianlong, Xianfeng; Confucianism, Buddhism; Qing architecture, decorative arts; Manchu banner system, civil service examinations; Trade, conquest; Censorship, eunuchs; Eight Banners, Han Chinese; Frontier expansion, Tibetan Buddhism; Literature, theater; Opium Wars, Taiping Rebellion  Decline, Republic of China.
23;"""The History of the Ancient Egyptians"""; Egyptian hieroglyphs, Edfu texts; Narmer, Cleopatra; Pharaonic ideology, mythology; Ancient Egyptian architecture, sculpture; Dynastic period, New Kingdom; Nobility, priests; Scribes, workers; Agriculture, craftwork; Irrigation, mathematics; Medicine, mummification; Colonization, trade  Greco-Roman Egypt, Coptic Christianity.
24;"""The History of the Inca Empire"""; Quipus, Huarochirí Manuscript; Pachacuti, Atahualpa; Quechua, Aymara; Andean religion, shamanism; Inca architecture, pottery; Mit'a labor, tribute system; Royalty, ayllu system; Terrace farming, weaving; Military conquest, road system; Contact, Spanish conquest; Resistance, syncretism  Inca civilization, Andean culture.
25;"""The History of the Maya Civilization"""; Maya codices, Popol Vuh; Pacal, K'inich Janaab' Pakal; Hieroglyphic script, calligraphy; Maya religion, astronomy; Maya architecture, mural painting; Classic period, Postclassic period; Nobility, commoners; Slavery, merchant class; Agriculture, ceramics; Calendar system, writing; Collapse, Spanish conquest  Colonial period, resistance.
26;"""The History of the Zhou Dynasty"""; Shijing, Zuozhuan; King Wu, Confucius; Chinese, various regional scripts; Chinese philosophy, divination; Bronze vessels, jade carving; Land reform, feudalism; Centralized monarchy, regional lords; Aristocrats, scholars; Mandate of Heaven, Five Classics; Ritual, education; Spring and Autumn period, Warring States period  Chinese historiography, Chinese civilization.
27;"""The History of the Ottoman Empire"""; Evliya Çelebi, Ahmed Resmi Efendi; Mehmed II, Suleiman the Magnificent; Ottoman Turkish, Arabic; Sufism, Sunni Islam; Ottoman architecture, calligraphy; Devshirme system, military slavery; Janissaries, timar system; Vezirs, ulema; Conquest, frontier wars; Diplomacy, bureaucracy; Tulip period, decline  Ottoman legacy, modern Turkey.
28;"""The History of the Tokugawa Shogunate"""; Tokugawa Ieyasu, Tokugawa Yoshimune; Japanese, Chinese; Neo-Confucianism, Shinto; Ukiyo-e, tea ceremony; Samurai, daimyos; Edo period, Genroku period; Centralization, feudalism; Shogunate, han system; Intellectual culture, popular culture; Dutch trade, Rangaku; Meiji Restoration, modernization  Japanese historiography, East Asian studies.
29;"""The History of the Sassanian Empire"""; Middle Persian texts, Shapur I inscription; Ardashir I, Khosrow II; Zoroastrianism, Manichaeism; Sassanian architecture, silverware; Land reform, feudalism; Centralization, regionalism; Mobed, dehgan; Agriculture, industry; Fire temples, education; Sasanian culture, Sogdian culture; Muslim conquest, decline  Iranian historiography, late antiquity.</s>
30;" ""The History of the Maya Civilization"""; Diego de Landa, Popol Vuh; Janaab' Pakal, Ix Chel; Maya script, Yucatec Maya; Maya mythology, Animism; Palenque, Tikal; Slash-and-burn, terracing; Theocracy, lineage system; Nobles, priests; Hieroglyphic stairway, ballgame; Maize cultivation, ceramics; Collapse, Spanish conquest  Postclassic, contemporary Maya.
31;"""The History of the Tang Dynasty"""; Li Bai, Du Fu; Xuanzong, Taizong; Classical Chinese, Literary Chinese; Chan Buddhism, Confucianism; Tang poetry, porcelain; Tang music, painting; Equitable land system, fiefdoms; Tang Code, Zhouli; Meritocracy, aristocracy; Grand Canal, Silk Road; Gunpowder, papermaking  An Lushan rebellion, Five Dynasties.
32;"""The History of the Ancient Egypt"""; Herodotus, Manetho; Narmer, Cleopatra; Egyptian hieroglyphs, Coptic; Ancient Egyptian religion, Hellenistic; Pyramids, temples; Obelisks, sphinxes; Redistributive economy, desert agriculture; Pharaoh, vizier; Scribes, workers; Flood recurrence, astronomy; Medicine, mathematics  Ancient Egyptian historiography, Egyptology.
33;"""The History of the Gupta Empire"""; Kalidasa, Aryabhata; Chandragupta I, Skandagupta; Sanskrit, Prakrit; Hinduism, Buddhism; Rock-cut architecture, metal craft; Temple architecture, mural paintings; Land grants, villager associations; Gupta administration, provincial governors; Brahmanas, shudras; Algebra, trigonometry; Advances in medicine, metallurgy  Post-Gupta period, Indian history.
34;"""The History of the Aztec Empire"""; Bernardino de Sahagún, Codex Mendoza; Itzcoatl, Moctezuma II; Nahuatl, Classical Nahuatl; Aztec mythology, animism; Tenochtitlan, Templo Mayor; Chinampas, terracing; Tribute system, military service; Tlatoani, calmecac; Aztec codices, divination; Maize, beans; Spanish conquest, decline  Aztec historiography, Mesoamerican studies.
35;"""The History of the Han Dynasty"""; Sima Qian, Han Shu; Han Gaozu, Wu Di; Classical Chinese, Huáyǔ; Legalism, Confucianism; Terracotta army, imperial seals; Calligraphy, music; Equal-field system, corvée labor; Mandate of heaven, three excellencies; Eunuchs, scholar-officials; Gunpowder, papermaking; Silk Road, exploration  Han historiography, Chinese history.
36;"""The History of the Inca Empire"""; Inca Garcilaso de la Vega, Huarochirí Manuscript; Pachacuti, Atahualpa; Quechua, Puquina; Andean religion, syncretic Catholicism; Machu Picchu, Sacsayhuamán; Terracing, irrigation; Mit'a, mink'a; Sapa Inca, kuraka; Amautas, yanakuna;Quipus, weaving; Potato, maize  Spanish conquest, decline  Inca historiography, Andean studies.
37;"""The History of the Mughal Empire"""; Abu'l-Fazl, Babur, Akbar, Shah Jahan; Persian, Urdu; Sufism, Sunni Islam; Mughal architecture, miniature painting; Taj Mahal, Lahore Fort; Land revenue, Mansabdari; Emperors, nobles; Ulemas, qazis; Expansion, conquest; Textiles, jewelry; Sepoy Rebellion, British Raj  Mughal historiography, South Asian history.
38;"""The History of the Roman Empire"""; Tacitus, Suetonius; Augustus, Marcus Aurelius; Latin, Koine Greek; Roman polytheism, early Christianity; Colosseum, Pantheon; Aqueducts, roads; Client-patron relationships, Roman law; Roman senate, magistrates; Freedmen, slaves; Literature, arts; Military conquests, expansion  Decline, fall  Roman historiography, classical studies.</s>
39;" ""The History of the Han Dynasty"""; Sima Qian, Ban Gu; Han Wudi, Liu Xiu; Classical Chinese, Old Han Chinese; Confucianism, Huang-Lao Daoism; Great Wall, Mausoleum of the First Qin Emperor; Canals, postal roads; Legalism, Confucianism; Emperor, officials; Scholars, eunuchs; Silk, ceramics; Spice trade, tributary system  Han historiography, East Asian studies.
40;"""The History of the Ottoman Empire"""; Mustafa Ali, Ahmed Rasa; Mehmed II, Suleiman the Magnificent; Ottoman Turkish, Arabic; Sufism, Sunni Islam; Hagia Sophia, Topkapi Palace; Bridges, aqueducts; Devshirme, timar; Sultan, viziers; Ulema, qadis; Conquests, expansion; Carpets, metalware  World wars, republic  Ottoman historiography, Middle Eastern studies.
41;"""The History of the Qing Dynasty"""; Qing historians, Wei Yuan; Kangxi, Yongzheng; Manchu, Mandarin Chinese; Confucianism, Buddhism; Qianlong Garden, Summer Palace; Canals, railways; Eight Banners, bannermen; Emperor, officials; Scholars, eunuchs; Porcelain, tea; Silk, tea  Opium Wars, Taiping Rebellion  Qing historiography, East Asian studies.
42;"""The History of the Aztec Civilization"""; Bernardino de Sahagún, Diego Durán; Moctezuma I, Cuauhtémoc; Nahuatl, Classical Nahuatl; Aztec religion, syncretic Christianity; Templo Mayor, Tenochtitlan; Chinampas, aqueducts; Tribute, corvée; Tlatoani, calpixque; Priests, merchants; Cotton, maguey; Spanish conquest, decline Aztec historiography, Mesoamerican studies.
43;"""The History of the Islamic Golden Age"""; Al-Tabari, Ibn Khaldun; Umar ibn al-Khattab, Harun al-Rashid; Arabic; Islam, Mu'tazila; Alhambra, Umayyad Mosque; Canals, dams; Fiqh, Kalam; Caliphs, viziers; Scholars, Sufis; Paper, gunpowder; Astronomy, algebra  Islamic historiography, Middle Eastern studies.
44;"""The History of the Russian Empire"""; Nikolay Karamzin, Vasily Klyuchevsky; Peter the Great, Catherine the Great; Russian, Old Church Slavonic; Russian Orthodoxy, Deism; Hermitage, Saint Basil's Cathedral; Railways, telegraphs; Serfs, nobility; Tsar, ministers; Clergy, merchants; Textiles, ironware; Mongol invasion, reforms  Russian historiography, Slavic studies.
45;"""The History of the Zulu Kingdom"""; John Bradford, A. T. Bryant; Shaka, Cetshwayo; Zulu, isiXhosa; Zulu religion, Christianity; KwaBulawayo, uMgungundlovu; Hut system, corvée; King, indunas; Warriors, izangoma; Cattle, millet; Ivory trade, diplomacy; British expansion, Anglo-Zulu War  Zulu historiography, African studies.
46;"""The History of the Maya Civilization"""; Diego de Landa, John Lloyd Stephens; Pacal the Great, K'inich Janaab' Pakal I; Classic Maya, Ch'ol; Maya religion, Christianity; Tikal, Palenque; Terracing, irrigation; Tribute, corvée; Ajaw, nobles; Ah Kin, shamans; Cotton, cacao; Spanish conquest, decline Maya historiography, Mesoamerican studies.
47;"""The History of the Gupta Empire"""; Kalidasa, Aryabhata; Chandragupta I, Samudragupta; Sanskrit, Prakrit; Hinduism, Buddhism; Cave temples, stupas; Canals, railways; Feudalism, bureaucracy; King, ministers; Scholars, craftsmen; Textiles, metals; Gunpowder, metallurgy  Gupta historiography, South Asian studies.
48;"""The History of the Ming Dynasty"""; Song Lian, Zhang Tingyu; Hongwu, Yongle; Classical Chinese, Yue Chinese; Confucianism, Daoism; Forbidden City, Temple of Heaven; Great Wall, Grand Canal; Civil service examinations, scholar-officials; Jia, Censorate; Eunuchs, merchants; Porcelain, silk; Maritime trade, expeditions  Ming historiography, East Asian studies.</s>
49;" ""The History of the Aztec Civilization"""; Bernardino de Sahagún, Diego Durán; Moctezuma I, Moctezuma II; Nahuatl, Classical Nahuatl; Aztec religion, Christianity; Tenochtitlán, Texcoco; Chinampas, aqueducts; Tribute, market economy; Tlatoani, nobles; Priesthood, merchants; Cotton, maize; Spanish conquest, smallpox epidemic  Aztec historiography, Mesoamerican studies.
50;"""The History of the Ottoman Empire"""; Mehmed the Conqueror, Suleiman the Magnificent; Osman I, Selim I; Ottoman Turkish, Arabic; Islam, Sufism; Hagia Sophia, Blue Mosque; Topkapi Palace, Grand Bazaar; Devşirme, timar; Valide Sultan, Şeyhülislâm; Ağa, Janissaries; Caravanserais, shipbuilding; Gunpowder, firearms  Ottoman historiography, Middle Eastern studies.
51;"""The History of the Qing Dynasty"""; Kangxi, Qianlong; Nurhaci, Yongzheng; Mandarin, Manchu; Confucianism, Buddhism; Forbidden City, Summer Palace; Great Wall, Grand Canal; Civil service examinations, scholar-officials; Eight Banners, Green Standard Army; Empress Dowager, eunuchs; Porcelain, silk; Maritime trade, Canton System  Qing historiography, East Asian studies.
52;"""The History of the Russian Empire"""; Peter the Great, Catherine the Great; Ivan the Terrible, Elizabeth; Russian, Church Slavonic; Russian Orthodoxy, secularism; Hermitage, Winter Palace; Moscow Kremlin, Saint Basil's Cathedral; Table of Ranks, Nobility; Tsaritsa, boyars; Prikaz, streltsy; Furs, grains; Gunpowder, navy  Russian historiography, Eurasian studies.
53;"""The History of the Inca Civilization"""; Inca Garcilaso de la Vega, Juan de Betanzos; Pachacuti, Huayna Capac; Quechua, Aymara; Inca religion, Christianity; Cusco, Machu Picchu; Terracing, irrigation; Mit'a, tribute; Sapa Inca, nobles; Curaca, shamans; Camelids, potatoes; Spanish conquest, smallpox epidemic  Inca historiography, Andean studies.
54;"""The History of the French Empire"""; Napoleon Bonaparte, Charles de Gaulle; Louis XIV, Louis-Philippe; French, Latin; Catholicism, secularism; Palace of Versailles, Notre-Dame; Napoleonic Code, French Revolution; Nobility, bourgeoisie; Empress consort, prefect; Tricolor, Guillotine; Cloth, wine; Colonies, expeditions  French historiography, European studies.
55;"""The History of the Japanese Empire"""; Meiji, Hirohito; Oda Nobunaga, Tokugawa Ieyasu; Japanese, Classical Chinese; Shinto, Buddhism; Tokyo Imperial Palace, Kinkaku-ji; Great Wall, Grand Canal; Samurai, ronin; Shogun, daimyo; Mikado, imperial advisors; Silk, tea; Gunpowder, navy  Japanese historiography, East Asian studies.
56;"""The History of the Islamic Golden Age"""; al-Khwarizmi, Ibn Sina; Harun al-Rashid, Mamun al-Rashid; Arabic, Persian; Islam, Sufism; Alhambra, Umayyad Mosque; House of Wisdom, madrasa; Caliph, vizier; Hajj, Zakat; Textiles, paper; Gunpowder, astrolabe; Arabic numerals, algebra  Islamic historiography, Middle Eastern studies.
57;"""The History of the Sassanian Empire"""; Shapur I, Khosrau II; Ardashir I, Yazdegerd III; Middle Persian, Parthian; Zoroastrianism, Christianity; Persepolis, Taj Mahal; Qanats, windmill; Satrap, magi; King of Kings, courtiers; Silk, gems; Gunpowder, postal service; Sassanian historiography, Iranian studies.
58;"""The History of the Ancient Egyptian Civilization"""; Herodotus, Manetho; Ramesses II, Cleopatra; Egyptian, Hieroglyphic; Pharaoh, vizier; Pyramids, temples; Irrigation, canals; Priests, scribes; Harem, bureaucracy; Linen, gold; Papyrus, medicine; Egyptian historiography, African studies.</s>
59;" ""The History of the Han Dynasty"""; Sima Qian, Ban Gu; Han Wudi, Liu Xiu; Classical Chinese, Hanzi; Confucianism, Taoism; Great Wall, Terracotta Army; Silk Road, Grand Canal; Emperor, chancellor; Rice, tea; Paper, compass; Gunpowder, seismograph;" Chinese historiography, East Asian studies."""
60;"""The History of the Aztec Empire"""; Duran, Ixtlilxochitl; Moctezuma I, Cuauhtemoc; Nahuatl, Pictograms; Tlatoani, Cihuacoatl; Temples, pyramids; Agriculture, human sacrifice; Nobility, commoners; Market, education; Feathers, gold; Amatl, calendar;" Mesoamerican historiography, Native American studies."""
61;"""The History of the Maya Civilization"""; Diego de Landa, Juan Rodriguez; Pacal the Great, Shield Jaguar IV; Yucatec, Hieroglyphic; Ajaw, Bathoul; Ziggurats, Observatories; Maize, beans; Priests, merchants; Nobles, slaves; Jade, obsidian; Maya codex, numerals;" Mesoamerican historiography, Native American studies."""
62;"""The History of the Gupta Empire"""; Kalidasa, Megasthenes; Chandragupta I, Skandagupta; Sanskrit, Brahmi; Hinduism, Buddhism; Universities, Iron Pillar; Silk Route, spices; King, minister; Rice, cotton; Medicine, mathematics; Chess, fountain pens;" Indian historiography, South Asian studies."""
63;"""The History of the Inca Empire"""; Garcilaso de la Vega, Juan de Betanzos; Pachacuti, Atahualpa; Quechua, Quipus; Sapa Inca, Willaq Umu; Temples, terraces; Potatoes, llamas; Nobles, commoners; Market, education; Gold, silver;" Andean historiography, Native American studies.""";
64;"""The History of the Byzantine Empire"""; Procopius, Nicephorus Gregoras; Justinian I, Constantine XI; Greek, Byzantine; Orthodox Christianity, Islam; Hagia Sophia, Palace of the Porphyrogenitus; Silk, spices; Emperor, patriarch; Law, bureaucracy; Silk weaving, glassware;" Byzantine historiography, Mediterranean studies.""";
65;"""The History of the Ottoman Empire"""; Rustem Pasha, Naima; Mehmed II, Suleiman the Magnificent; Turkish, Arabic; Islam, Sufism; Hagia Sophia, Blue Mosque; Slavery, janissaries; Grand Vizier, governors; Trade, finance; Coffee, tobacco;" Ottoman historiography, Middle Eastern studies.""";
66;"""The History of the Mughal Empire"""; Babur, Akbar; Humayun, Shah Jahan; Persian, Arabic; Islam, Hinduism; Taj Mahal, Red Fort; Land revenue system, postal service; Emperor, vizier; Textiles, jewellery; Miniature paintings, gardens;" Mughal historiography, South Asian studies.""";
67;"""The History of the Russian Empire"""; Karamzin, Solovyov; Peter the Great, Catherine the Great; Russian, Cyrillic; Russian Orthodoxy, Islam; Moscow Kremlin, Winter Palace; Serfdom, bureaucracy; Tsar, noblemen; Baltic trade, Siberian expansion; samovar, vodka;" Russian historiography, European studies.""";
68;"""The History of the French Revolution"""; Michelet, Tocqueville; Napoleon Bonaparte, Louis Philippe; French, Latin; Republicanism, Nationalism; Declaration of the Rights of Man, Napoleonic code; Assignats, Bureaucracy; Emperor, National Assembly; Education, Enlightenment values; Coffeehouse culture, Romanticism;" French historiography, European studies.""</s>";
69;" ""The History of the Ottoman Empire"""; Inalcik, Fleischer; Suleiman the Magnificent, Selim I; Turkish, Arabic; Islam, Christianity; Hagia Sophia, Blue Mosque; Timar system, Ottoman postal system; Sultan, Grand vizier; Silk road trade, spice trade; Calligraphy, Turkish carpet;" Ottoman historiography, Middle Eastern studies.""";
70;"""The History of the Qing Dynasty"""; Fairbank, Crossley; Kangxi, Qianlong; Chinese, Mongolian; Confucianism, Buddhism; Forbidden City, Summer Palace; Equitable tax system, banner system; Emperor, Grand councilor; Porcelain, silk; Chinese landscape painting, Peking opera;" Qing historiography, East Asian studies.""";
71;"""The History of the Aztec Civilization"""; Duran, Clavijero; Moctezuma I, Cuauhtemoc; Nahuatl, Spanish; Aztec religion, Catholicism; Templo Mayor, Tenochtitlan; Tribute system, warfare; Tlatoani, Pochteca; Featherwork, stone sculpture;" Aztec codices, Mexican historiography.""";;
72;"""The History of the Mayan Civilization"""; Jones, Mathews; Pacal the Great, Hassaucan; Maya, Yucatec; Maya religion, Catholicism; Palenque, Tikal; Maize cultivation, writing system; Ajaw, noble; Pottery, weaving;" Maya hieroglyphs, Central American studies.""";;
73;"""The History of the Classical Greeks"""; Thucydides, Plutarch; Pericles, Alexander the Great; Ancient Greek, Koine; Athenian democracy, Hellenistic culture; Parthenon, Alexander's tomb; Atimoria system, trireme navy; Strategos, hegemon; Red-figure pottery, Olympic games;" Classical Greek historiography, European studies.""";;
74;"""The History of the Roman Empire"""; Livy, Tacitus; Julius Caesar, Augustus; Latin, Greek; Polytheism, Christianity; Colosseum, Pantheon; Land redistribution, legions; Emperor, senator; Mosaics, aqueducts; Roman law, oratory;" Roman historiography, European studies.""";
75;"""The History of the Mongol Empire"""; Ratchnevsky, Morgan; Genghis Khan, Kublai Khan; Mongolian, Uighur; Tengrism, Buddhism; Yurts, Great Wall; Mongolian script, conquests; Khan, generals; Archery, horsemanship;" Mongol historiography, Asian studies.""";;
76;"""The History of the Ming Dynasty"""; Mote, Swope; Hongwu, Yongle; Chinese, Mongolian; Neo-Confucianism, Buddhism; Forbidden City, Porcelain tower; Equitable tax system, tribute system; Emperor, grand secretary; Maritime trade, paper money;" Ming historiography, East Asian studies.""";;
77;"""The History of the Ancient Egyptians"""; Herodotus, Manetho; Khufu, Ramses II; Egyptian, Hieroglyphs; Ancient Egyptian religion, Hellenistic culture; Pyramids, temples; Food rations, corvée labor; Pharaoh, vizier; Art, engineering;" Egyptian historiography, African studies.""";;
78;"""The History of the Indus Valley Civilization"""; Possehl, Kenoyer; Dholavira, Mohenjo-Daro; Indus script, Sanskrit; Hinduism, Jainism; Great bath, granaries; City planning, irrigation; Merchant, artisan; Seals, pottery;" Indus historiography, South Asian studies.""</s>";;
79;" ""The History of the Aztecs"""; Durán, Clendinnen; Moctezuma I, Cuauhtémoc; Nahuatl, Spanish; Aztec religion, Christianity; Templo Mayor, Sun Stone; Human sacrifice, tribute; Emperor, calmecac teacher; Marketplaces, featherwork;" Aztec historiography, Mesoamerican studies.""";;
80;"""The History of the Han Dynasty"""; Sima, Balazs; Han Gaozu, Wu Di; Chinese, Legalist; Confucianism, Daoism; Great Wall, Terracotta Army; Irrigation, bureaucracy; Emperor, chancellor; Silk Road, paper;" Han historiography, East Asian studies.""";;
81;"""The History of the Mayans"""; Schele, Freidel; K'inich Janaab' Pakal, Shield Skull I; Yucatec, Classic Maya; Maya mythology, Christianity; Palenque, Tikal; Maize, calendrics; Ajaw, priest; Pottery, jade carving;" Mayan historiography, Mesoamerican studies.""";;
82;"""The History of the Romans"""; Livy, Plutarch; Julius Caesar, Augustus; Latin, Greek; Polytheism, Christianity; Colosseum, Pantheon; Legions, aqueducts; Emperor, senator; Law, engineering;" Roman historiography, Classical studies.""";;
83;"""The History of the Mongols"""; Ratchnevsky, Morgan; Genghis Khan, Kublai Khan; Mongolian, Chinese; Tengrism, Buddhism; Yurts, Great Wall; Military tactics, postal system; Khan, minister; Trade, metalworking;" Mongol historiography, Inner Asian studies.""";;
84;"""The History of the Ottomans"""; Inalcik, Kafadar; Osman I, Suleiman the Magnificent; Ottoman Turkish, Islamic; Sunnism, Shia; Sultanahmet Mosque, Topkapi Palace; Devşirme, kapıkulu; Vizier, pasha; Market regulations, navigation;" Ottoman historiography, Middle Eastern studies.""";;
